番号,報告書番号,遺跡名,分類,type2,口径,器高,遺構,対象,type
BS001,70,仏生寺城跡,TJ,仏生寺城跡TJ類,7.2,1.5,SD06,○,BS_TJ
BS002,71,仏生寺城跡,TJ,仏生寺城跡TJ類,7.3,1.5,SD06,○,BS_TJ
BS003,72,仏生寺城跡,TJ,仏生寺城跡TJ類,7.6,1.5,SD06,○,BS_TJ
BS004,74,仏生寺城跡,TJ,仏生寺城跡TJ類,8.3,1.7,SD06,○,BS_TJ
BS005,75,仏生寺城跡,TJ,仏生寺城跡TJ類,8.2,1.4,SD06,○,BS_TJ
BS006,78,仏生寺城跡,TJ,仏生寺城跡TJ類,8.6,1.6,SD06,○,BS_TJ
BS007,79,仏生寺城跡,TJ,仏生寺城跡TJ類,9,1.8,SD06,○,BS_TJ
BS008,83,仏生寺城跡,TJ,仏生寺城跡TJ類,9.6,1.8,SD06,○,BS_TJ
BS009,84,仏生寺城跡,TJ,仏生寺城跡TJ類,9.4,1.8,SD06,○,BS_TJ
BS010,85,仏生寺城跡,TJ,仏生寺城跡TJ類,9.8,2.1,SD06,○,BS_TJ
BS011,86,仏生寺城跡,TJ,仏生寺城跡TJ類,9.2,1.9,SD06,○,BS_TJ
BS012,87,仏生寺城跡,TJ,仏生寺城跡TJ類,9,1.9,SD06,○,BS_TJ
BS022,109,仏生寺城跡,TJ,仏生寺城跡TJ類,8,1.6,SD06,○,BS_TJ
BS023,110,仏生寺城跡,TJ,仏生寺城跡TJ類,8.5,1.7,SD06,○,BS_TJ
BS024,111,仏生寺城跡,TJ,仏生寺城跡TJ類,7.8,1.5,SD06,○,BS_TJ
BS025,112,仏生寺城跡,TJ,仏生寺城跡TJ類,8.4,1.8,SD06,○,BS_TJ
BS026,113,仏生寺城跡,TJ,仏生寺城跡TJ類,9.8,1.5,SD06,○,BS_TJ
BS029,118,仏生寺城跡,TI,仏生寺城跡TI類,7.6,1.7,SD06,○,BS_TI
BS030,120,仏生寺城跡,TI,仏生寺城跡TI類,8,2,SD06,○,BS_TI
BS031,121,仏生寺城跡,TI,仏生寺城跡TI類,8,1.7,SD06,○,BS_TI
BS032,123,仏生寺城跡,TI,仏生寺城跡TI類,8.3,1.8,SD06,○,BS_TI
BS033,124,仏生寺城跡,TI,仏生寺城跡TI類,8.6,1.7,SD06,○,BS_TI
BS034,125,仏生寺城跡,TI,仏生寺城跡TI類,9,2,SD06,○,BS_TI
BS035,126,仏生寺城跡,TI,仏生寺城跡TI類,9.8,2.2,SD06,○,BS_TI
BS036,128,仏生寺城跡,TI,仏生寺城跡TI類,10.5,2.4,SD06,○,BS_TI
BS040,165,仏生寺城跡,TJ,仏生寺城跡TJ類,8,1.5,SD17,○,BS_TJ
BS041,167,仏生寺城跡,TJ,仏生寺城跡TJ類,9.6,2,SD17,○,BS_TJ
BS042,168,仏生寺城跡,TJ,仏生寺城跡TJ類,10.6,2.2,SD17,○,BS_TJ
BS044,178,仏生寺城跡,TI,仏生寺城跡TI類,9.3,1.9,SD17,○,BS_TI
BS045,179,仏生寺城跡,TI,仏生寺城跡TI類,9.6,1.8,SD17,○,BS_TI
BS046,182,仏生寺城跡,TI,仏生寺城跡TI類,9,2,SD17,○,BS_TI
BS047,184,仏生寺城跡,TI,仏生寺城跡TI類,9.6,2.1,SD17,○,BS_TI
BS048,185,仏生寺城跡,TI,仏生寺城跡TI類,9,1.7,SD17,○,BS_TI
BS049,187,仏生寺城跡,TI,仏生寺城跡TI類,9.3,2,SD17,○,BS_TI
BS050,188,仏生寺城跡,TI,仏生寺城跡TI類,9,2,SD17,○,BS_TI
BS051,239,仏生寺城跡,TI,仏生寺城跡TI類,8.4,1.9,SK06,○,BS_TI
BS052,240,仏生寺城跡,TI,仏生寺城跡TI類,8.8,2.2,SK06,○,BS_TI
BS053,244,仏生寺城跡,TI,仏生寺城跡TI類,9.8,1.8,SK06,○,BS_TI
BS054,245,仏生寺城跡,TI,仏生寺城跡TI類,9.7,2.1,SK06,○,BS_TI
IN001,284,井口城跡,RF,井口城跡RF類,7.6,1.6,SK15,○,IN_RF
IN002,286,井口城跡,RF,井口城跡RF類,7.6,2,SK15,○,IN_RF
IN003,288,井口城跡,RF,井口城跡RF類,7.7,2,SK15,○,IN_RF
IN004,289,井口城跡,RF,井口城跡RF類,7.7,2.2,SK15,○,IN_RF
IN005,290,井口城跡,RF,井口城跡RF類,7.9,2.1,SK15,○,IN_RF
IN006,291,井口城跡,RF,井口城跡RF類,7.7,1.8,SK15,○,IN_RF
IN007,292,井口城跡,RF,井口城跡RF類,8.3,1.9,SK15,○,IN_RF
IN008,293,井口城跡,RF,井口城跡RF類,10.8,2.4,SK15,○,IN_RF
IN009,294,井口城跡,RF,井口城跡RF類,10.8,2.5,SK15,○,IN_RF
IS010,4784,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.4,2,SD7030,○,IS_SD7030
IS013,4787,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2,SD7030,○,IS_SD7030
IS015,4789,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.1,2.2,SD7030,○,IS_SD7030
IS018,4792,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,1.9,SD7030,○,IS_SD7030
IS019,4793,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,1.9,SD7030,○,IS_SD7030
IS020,4794,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.2,2,SD7030,○,IS_SD7030
IS021,4795,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.5,2.1,SD7030,○,IS_SD7030
IS022,4796,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.6,1.9,SD7030,○,IS_SD7030
IS023,4797,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.5,1.8,SD7030,○,IS_SD7030
IS024,4798,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.6,2.2,SD7030,○,IS_SD7030
IS029,4803,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.8,SD7030,○,IS_SD7030
IS030,4804,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.6,1.9,SD7030,○,IS_SD7030
IS031,4805,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,2.2,SD7030,○,IS_SD7030
IS034,4808,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.4,2,SD7030,○,IS_SD7030
IS036,4810,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,2.1,SD7030,○,IS_SD7030
IS037,4811,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2,SD7030,○,IS_SD7030
IS038,4812,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,1.9,SD7030,○,IS_SD7030
IS039,4813,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.1,2.2,SD7030,○,IS_SD7030
IS043,4817,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,1.9,SD7030,○,IS_SD7030
IS046,4820,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2.1,SD7030,○,IS_SD7030
IS047,4821,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9,1.8,SD7030,○,IS_SD7030
IS048,4822,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,2.0,SD7030,○,IS_SD7030
IS052,4826,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9,1.9,SD7030,○,IS_SD7030
IS053,4827,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.3,1.8,SD7030,○,IS_SD7030
IS054,4828,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.4,1.8,SD7030,○,IS_SD7030
IS055,4829,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.9,SD7030,○,IS_SD7030
IS056,4830,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.7,SD7030,○,IS_SD7030
IS059,4833,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9,2,SD7030,○,IS_SD7030
IS065,4839,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.9,SD7030,○,IS_SD7030
IS070,4844,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,2.2,SD7030,○,IS_SD7030
IS071,4845,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,2.2,SD7030,○,IS_SD7030
IS072,4847,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2.1,SD7030,○,IS_SD7030
IS073,4848,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2.1,SD7030,○,IS_SD7030
IS076,4851,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.9,SD7030,○,IS_SD7030
IS078,4853,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.2,1.9,SD7030,○,IS_SD7030
IS082,4859,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.6,1.6,SD7030,○,IS_SD7030
IS089,4866,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,1.8,SD7030,○,IS_SD7030
IS094,4873,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,2,SD7030,○,IS_SD7030
IS098,4878,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.8,SD7030,○,IS_SD7030
IS102,4882,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.7,1.9,SD7030,○,IS_SD7030
IS105,4885,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,2,SD7030,○,IS_SD7030
IS106,4886,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,1.7,SD7030,○,IS_SD7030
IS107,4887,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.9,2,SD7030,○,IS_SD7030
IS110,4890,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.6,1.7,SD7030,○,IS_SD7030
IS111,4891,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9,2,SD7030,○,IS_SD7030
IS112,4892,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),9.2,1.7,SD7030,○,IS_SD7030
IS116,4898,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.3,1.8,SD7030,○,IS_SD7030
IS117,4899,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.4,1.8,SD7030,○,IS_SD7030
IS119,4901,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),8.8,1.8,SD7030,○,IS_SD7030
IS124,4907,石名田木舟遺跡,TI,石名田木舟TI類(SD7030),10.7,2.3,SD7030,○,IS_SD7030
IS160,4446,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),7.9,1.8,SD7003,○,IS_SD7003
IS161,4447,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.8,SD7003,○,IS_SD7003
IS162,4448,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.8,1.7,SD7003,○,IS_SD7003
IS163,4449,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.4,1.8,SD7003,○,IS_SD7003
IS164,4450,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9,1.8,SD7003,○,IS_SD7003
IS165,4451,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.6,1.9,SD7003,○,IS_SD7003
IS166,4452,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.4,1.7,SD7003,○,IS_SD7003
IS167,4453,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.6,1.8,SD7003,○,IS_SD7003
IS168,4454,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9.1,2,SD7003,○,IS_SD7003
IS169,4455,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9.4,2.1,SD7003,○,IS_SD7003
IS170,4456,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9.3,1.8,SD7003,○,IS_SD7003
IS171,4457,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9.4,1.9,SD7003,○,IS_SD7003
IS172,4458,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9,2,SD7003,○,IS_SD7003
IS173,4459,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.2,1.8,SD7003,○,IS_SD7003
IS174,4460,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.2,1.8,SD7003,○,IS_SD7003
IS176,4462,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.9,SD7003,○,IS_SD7003
IS177,4463,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.85,SD7003,○,IS_SD7003
IS178,4464,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.8,SD7003,○,IS_SD7003
IS179,4465,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.8,SD7003,○,IS_SD7003
IS180,4466,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.6,1.8,SD7003,○,IS_SD7003
IS181,4467,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9,1.9,SD7003,○,IS_SD7003
IS182,4468,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.6,1.7,SD7003,○,IS_SD7003
IS183,4469,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.35,1.9,SD7003,○,IS_SD7003
IS184,4470,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.7,1.8,SD7003,○,IS_SD7003
IS185,4471,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,2,SD7003,○,IS_SD7003
IS186,4472,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),9.2,1.85,SD7003,○,IS_SD7003
IS187,4473,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.9,SD7003,○,IS_SD7003
IS188,4474,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.3,2,SD7003,○,IS_SD7003
IS189,4475,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.5,1.9,SD7003,○,IS_SD7003
IS190,4476,石名田木舟遺跡,TI,石名田木舟TI類(SD7003),8.3,2,SD7003,○,IS_SD7003
